index;stock;fator
2017-07-03;BBPO11;0,9930057523098578
2017-06-01;BBPO11;0,9930298284147456
2017-05-02;BBPO11;0,9929700074687962
2017-04-03;BBPO11;0,9930310889088769
2017-03-01;BBPO11;0,992975162059418
2017-02-01;BBPO11;0,9927725354258036
2017-01-02;BBPO11;0,9889946714132937
2016-12-01;BBPO11;0,9922485048307756
2016-11-01;BBPO11;0,9927098328421377
2016-10-03;BBPO11;0,9925785156589619
2016-09-01;BBPO11;0,9922329490384421
2016-08-01;BBPO11;0,9926777009740114
2016-07-01;BBPO11;0,9921386365560981
2016-06-01;BBPO11;0,9919631609657742
2016-05-02;BBPO11;0,9917496837682257
2016-04-01;BBPO11;0,9914288121969221
2016-03-01;BBPO11;0,990830553030133
2016-02-01;BBPO11;0,9905108955078565
2016-01-04;BBPO11;0,9900706920429144
2015-12-01;BBPO11;0,9910967529145955
2015-11-03;BBPO11;0,9908401579054621
2015-10-01;BBPO11;0,9909367585452784
2015-09-01;BBPO11;0,9913769612472734
2015-08-03;BBPO11;0,9923472745482412
2015-07-01;BBPO11;0,9923449850961743
2015-06-01;BBPO11;0,9922896174613971
2015-05-04;BBPO11;0,9921642222958584
2015-04-01;BBPO11;0,9920837540774227
2015-03-02;BBPO11;0,9921002293944142
2015-02-02;BBPO11;0,9923338308310538
2015-01-02;BBPO11;0,9923353383475567
2014-12-01;BBPO11;0,9922675297566184
2017-09-01;BBRC11;0,9941666969696971
2017-08-01;BBRC11;0,9940769056723666
2017-07-03;BBRC11;0,9933207975354414
2017-06-01;BBRC11;0,9934246971514291
2017-05-02;BBRC11;0,9933859046531065
2017-04-03;BBRC11;0,9936389007922825
2017-03-01;BBRC11;0,9936640985221521
2017-02-01;BBRC11;0,9932202975512476
2017-01-02;BBRC11;0,9914286025448982
2016-12-01;BBRC11;0,9930089011006964
2016-11-01;BBRC11;0,9931895936229057
2016-10-03;BBRC11;0,9926966991854934
2016-09-01;BBRC11;0,9923671022756649
2016-08-01;BBRC11;0,9932045054680093
2016-07-01;BBRC11;0,990208301170254
2016-06-01;BBRC11;0,992962893899802
2016-05-02;BBRC11;0,9917256071680581
2016-04-01;BBRC11;0,9934109980980362
2016-03-01;BBRC11;0,9931707018057807
2016-02-01;BBRC11;0,9938921986974955
2016-01-04;BBRC11;0,971465298970615
2015-12-01;BBRC11;0,9944564924469819
2015-11-03;BBRC11;0,9918469108312162
2015-10-01;BBRC11;0,9949283954689759
2015-09-01;BBRC11;0,9950802000726857
2015-08-03;BBRC11;0,9875137994730643
2015-07-01;BBRC11;0,9968992043503327
2015-06-01;BBRC11;0,9965853914220915
2015-05-04;BBRC11;0,9965765986043431
2015-04-01;BBRC11;0,996570702792962
2015-03-02;BBRC11;0,9968145083083235
2015-02-02;BBRC11;0,9968884879451176
2015-01-02;BBRC11;0,9968362071436638
2014-12-01;BBRC11;0,9971104988733474
2017-06-20;BBRK3;0,934
2016-07-05;BBRK3;1,0001897378906568
2016-02-26;BBRK3;0,9993268642363844
2016-02-23;BBRK3;1,0006567453759545
2015-11-27;BBRK3;1,000016832749798
2015-11-26;BBRK3;0,9993268642363844
2015-11-25;BBRK3;1,0006735891805831
2015-09-18;BBRK3;0,9999831675335388
2017-08-11;BBSE3;0,9698055661456347
2017-02-17;BBSE3;0,9710840448228395
2016-08-12;BBSE3;0,9727398067347549
2016-02-24;BBSE3;0,9665179439736621
2015-08-13;BBSE3;0,9715548441295216
2015-02-13;BBSE3;0,9734784679355587
2017-07-06;BBTG11;0,956954887218045
2017-01-05;BBTG11;0,9373699192825296
2016-09-13;BBTG11;0,7919290554627695
2016-07-06;BBTG11;0,9680853961953796
2015-12-30;BBTG11;0,9656033671845506
2015-08-12;BBTG11;0,997927895638384
2015-07-07;BBTG11;0,9836699595585137
2015-03-03;BBTG11;0,99564301946672
2015-01-07;BBTG11;0,9882037923628078
2017-09-01;BBVJ11;0,997
2017-07-03;BBVJ11;0,9894962208581768
2017-06-01;BBVJ11;0,9969617409704985
2017-05-02;BBVJ11;0,9968978972181801
2017-04-03;BBVJ11;0,9964871211938885
2017-03-01;BBVJ11;0,9964477803116003
2017-02-01;BBVJ11;0,9963667059584821
2017-01-02;BBVJ11;0,9936746146462139
2016-12-01;BBVJ11;0,996355026761805
2016-11-01;BBVJ11;0,9952258999190791
2016-10-03;BBVJ11;0,9950725506583241
2016-09-01;BBVJ11;0,994869243613314
2016-08-01;BBVJ11;0,9949808289371848
2016-07-01;BBVJ11;0,9911726285660459
2016-06-01;BBVJ11;0,9944660453009215
2016-05-02;BBVJ11;0,9943155219215789
2016-04-01;BBVJ11;0,9937186558666526
2016-03-01;BBVJ11;0,9934233054166473
2016-02-01;BBVJ11;0,9971838907671131
2016-01-04;BBVJ11;0,9837938106924596
2015-12-01;BBVJ11;0,9948282310754964
2015-11-03;BBVJ11;0,9944745584524811
2015-10-01;BBVJ11;0,9928964097459447
2015-09-01;BBVJ11;0,9933513240602939
2015-08-03;BBVJ11;0,9930487373932233
2015-07-01;BBVJ11;0,9890415171284216
2015-06-01;BBVJ11;0,9937675322962813
2015-05-04;BBVJ11;0,9939112933814426
2015-04-01;BBVJ11;0,9942830677410809
2015-03-02;BBVJ11;0,9946646503801837
2015-02-02;BBVJ11;0,9947615521120069
2015-01-02;BBVJ11;0,9914064264791381
2014-12-01;BBVJ11;0,994501892126738
2017-06-19;BBYY34;0,9942391079909147
2016-12-12;BBYY34;0,9938048015414949
2016-09-12;BBYY34;0,992651468736944
2017-08-08;BCFF11B;0,9928571428571429
2017-07-10;BCFF11B;0,9928428072992248
2017-06-08;BCFF11B;0,9930189592340374
2017-05-09;BCFF11B;0,9922439528516793
2017-04-10;BCFF11B;0,9922464292402675
2017-03-08;BCFF11B;0,9928810407303835
2017-02-08;BCFF11B;0,9921955213315495
2017-01-09;BCFF11B;0,9923700515747599
2016-12-08;BCFF11B;0,9921506775997809
2016-11-09;BCFF11B;0,9929938185158675
2016-10-10;BCFF11B;0,9921580167933367
2016-09-09;BCFF11B;0,9920758692744825
2016-08-08;BCFF11B;0,9920269952046007
2016-07-08;BCFF11B;0,9915996047604563
2016-06-08;BCFF11B;0,9866663770643253
2016-05-09;BCFF11B;0,9924942378684029
2016-04-08;BCFF11B;0,9921468861379047
2016-03-08;BCFF11B;0,9895725339437923
2016-02-10;BCFF11B;0,9889326278054172
2016-01-11;BCFF11B;0,9894434933635632
2015-12-08;BCFF11B;0,9900132417026306
2015-11-10;BCFF11B;0,9901749883030653
2015-10-08;BCFF11B;0,9904064999673183
2015-09-09;BCFF11B;0,9908002576639388
2015-08-10;BCFF11B;0,9901359428076946
2015-07-08;BCFF11B;0,9903575371295414
2015-06-09;BCFF11B;0,9898305105305751
2015-05-11;BCFF11B;0,9899972800439404
2015-04-09;BCFF11B;0,9901521938976346
2015-03-09;BCFF11B;0,989757950116659
2015-02-09;BCFF11B;0,9891050281580206
2015-01-09;BCFF11B;0,9926056537155772
2014-12-08;BCFF11B;0,992673314366632
2017-09-01;BCIA11;0,99488
2017-08-01;BCIA11;0,9935352880697976
2017-07-03;BCIA11;0,9928529815885779
2017-06-08;BCIA11;0,9927570991377349
2017-05-02;BCIA11;0,9945848375451263
2017-04-04;BCIA11;0,9932225184869361
2017-03-01;BCIA11;0,9922989934520694
2017-02-01;BCIA11;0,9929536386251668
2017-01-02;BCIA11;0,9926921631914203
2016-12-05;BCIA11;0,9905523561459537
2016-11-03;BCIA11;0,9917280320993463
2016-10-10;BCIA11;0,9921912120824854
2016-09-14;BCIA11;0,9919966577054422
2016-08-01;BCIA11;0,9917666404062586
2016-07-05;BCIA11;0,9886880754325771
2016-06-01;BCIA11;0,9858931928490248
2016-05-04;BCIA11;0,9904231138306782
2016-04-06;BCIA11;0,9917265810263449
2016-03-01;BCIA11;0,9910234398327858
2016-02-04;BCIA11;0,9926290872000154
2016-01-06;BCIA11;0,9916734525055902
2015-12-21;BCIA11;0,9917475639575197
2015-11-05;BCIA11;0,9922737423783886
2015-10-05;BCIA11;0,9919732765485124
2015-09-01;BCIA11;0,9910614039910243
2017-09-01;BCRI11;0,9930568413256804
2017-08-01;BCRI11;0,9929663793692411
2017-07-03;BCRI11;0,9922399862922326
2017-06-01;BCRI11;0,9918894328961295
2017-05-02;BCRI11;0,9901890425327653
2017-04-03;BCRI11;0,9902829194040627
2017-03-01;BCRI11;0,9904335233519478
2017-02-01;BCRI11;0,9902574038195406
2017-01-02;BCRI11;0,9903893114197861
2016-12-01;BCRI11;0,9895998869171617
2016-10-03;BCRI11;0,9883762844630309
2016-09-08;BCRI11;0,9563513812255569
2016-09-01;BCRI11;0,9883173965149316
2016-08-01;BCRI11;0,9871911821555881
2016-07-01;BCRI11;0,9878087660865298
2016-06-01;BCRI11;0,9877026933568681
2016-05-02;BCRI11;0,9877198259977178
2016-04-01;BCRI11;0,9866933840746427
2016-03-01;BCRI11;0,9883944934577845
